"id","country_id","name"
"distrito_aveiro","Portugal","Aveiro"
"distrito_beja","Portugal","Beja"
"distrito_braga","Portugal","Braga"
"distrito_braganca","Portugal","Bragança"
"distrito_castelo_branco","Portugal","Castelo Branco"
"distrito_coimbra","Portugal","Coimbra"
"distrito_evora","Portugal","Évora"
"distrito_faro","Portugal","Faro"
"distrito_guarda","Portugal","Guarda"
"distrito_leiria","Portugal","Leiria"
"distrito_lisboa","Portugal","Lisboa"
"distrito_portalegre","Portugal","Portalegre"
"distrito_porto","Portugal","Porto"
"distrito_santarem","Portugal","Santarém"
"distrito_setubal","Portugal","Setúbal"
"distrito_viana_castelo","Portugal","Viana do Castelo"
"distrito_vila_real","Portugal","Vila Real"
"distrito_viseu","Portugal","Viseu"
"distrito_sao_miguel","Portugal","São Miguel (Açores)"
"distrito_santa_maria","Portugal","Santa Maria (Açores)"
"distrito_terceira","Portugal","Terceira (Açores)"
"distrito_graciosa","Portugal","Graciosa (Açores)"
"distrito_sao_jorge","Portugal","São Jorge (Açores)"
"distrito_faial","Portugal","Faial (Açores)"
"distrito_pico","Portugal","Pico (Açores)"
"distrito_flores","Portugal","Flores (Açores)"
"distrito_corvo","Portugal","Corvo (Açores)"
"distrito_madeira","Portugal","Madeira (Madeira)"
"distrito_porto_santo","Portugal","Porto Santo (Madeira)"
