"country_id","distrito_id","concelho_id","name"
"Portugal","Santa Maria (Açores)","Vila do Porto","Almagreira"
"Portugal","Santa Maria (Açores)","Vila do Porto","Santa Bárbara"
"Portugal","Santa Maria (Açores)","Vila do Porto","Santo Espírito"
"Portugal","Santa Maria (Açores)","Vila do Porto","São Pedro"
"Portugal","Santa Maria (Açores)","Vila do Porto","Vila do Porto"
"Portugal","São Miguel (Açores)","Lagoa","Vila de Água de Pau"
"Portugal","São Miguel (Açores)","Lagoa","Cabouco"
"Portugal","São Miguel (Açores)","Lagoa","Rosário"
"Portugal","São Miguel (Açores)","Lagoa","Ribeira Chã"
"Portugal","São Miguel (Açores)","Lagoa","Santa Cruz"
"Portugal","São Miguel (Açores)","Nordeste","Achada"
"Portugal","São Miguel (Açores)","Nordeste","Achadinha"
"Portugal","São Miguel (Açores)","Nordeste","Algarvia"
"Portugal","São Miguel (Açores)","Nordeste","Lomba da Fazenda"
"Portugal","São Miguel (Açores)","Nordeste","Nordeste"
"Portugal","São Miguel (Açores)","Nordeste","Salga"
"Portugal","São Miguel (Açores)","Nordeste","Santana"
"Portugal","São Miguel (Açores)","Nordeste","Santo António de Nordestinho"
"Portugal","São Miguel (Açores)","Nordeste","São Pedro de Nordestinho"
"Portugal","São Miguel (Açores)","Ponta Delgada","Ajuda da Bretanha"
"Portugal","São Miguel (Açores)","Ponta Delgada","Arrifes"
"Portugal","São Miguel (Açores)","Ponta Delgada","Candelária"
"Portugal","São Miguel (Açores)","Ponta Delgada","Vila das Capelas"
"Portugal","São Miguel (Açores)","Ponta Delgada","Covoada"
"Portugal","São Miguel (Açores)","Ponta Delgada","Fajã de Baixo"
"Portugal","São Miguel (Açores)","Ponta Delgada","Fajã de Cima"
"Portugal","São Miguel (Açores)","Ponta Delgada","Fenais da Luz"
"Portugal","São Miguel (Açores)","Ponta Delgada","Feteiras"
"Portugal","São Miguel (Açores)","Ponta Delgada","Ginetes"
"Portugal","São Miguel (Açores)","Ponta Delgada","Livramento"
"Portugal","São Miguel (Açores)","Ponta Delgada","Mosteiros"
"Portugal","São Miguel (Açores)","Ponta Delgada","Pilar da Bretanha"
"Portugal","São Miguel (Açores)","Ponta Delgada","Relva"
"Portugal","São Miguel (Açores)","Ponta Delgada","Remédios"
"Portugal","São Miguel (Açores)","Ponta Delgada","Santa Bárbara"
"Portugal","São Miguel (Açores)","Ponta Delgada","Santa Clara"
"Portugal","São Miguel (Açores)","Ponta Delgada","Santo António"
"Portugal","São Miguel (Açores)","Ponta Delgada","São José"
"Portugal","São Miguel (Açores)","Ponta Delgada","São Pedro"
"Portugal","São Miguel (Açores)","Ponta Delgada","São Roque"
"Portugal","São Miguel (Açores)","Ponta Delgada","São Sebastião"
"Portugal","São Miguel (Açores)","Ponta Delgada","São Vicente Ferreira"
"Portugal","São Miguel (Açores)","Ponta Delgada","Sete Cidades"
"Portugal","São Miguel (Açores)","Vila da Povoação","Água Retorta"
"Portugal","São Miguel (Açores)","Vila da Povoação","Faial da Terra"
"Portugal","São Miguel (Açores)","Vila da Povoação","Furnas"
"Portugal","São Miguel (Açores)","Vila da Povoação","Remédios"
"Portugal","São Miguel (Açores)","Vila da Povoação","Povoação"
"Portugal","São Miguel (Açores)","Vila da Povoação","Ribeira Quente"
"Portugal","São Miguel (Açores)","Ribeira Grande","Calhetas"
"Portugal","São Miguel (Açores)","Ribeira Grande","Conceição"
"Portugal","São Miguel (Açores)","Ribeira Grande","Fenais da Ajuda"
"Portugal","São Miguel (Açores)","Ribeira Grande","Lomba da Maia"
"Portugal","São Miguel (Açores)","Ribeira Grande","Lomba de São Pedro"
"Portugal","São Miguel (Açores)","Ribeira Grande","Maia"
"Portugal","São Miguel (Açores)","Ribeira Grande","Matriz"
"Portugal","São Miguel (Açores)","Ribeira Grande","Pico da Pedra – Porto Formoso"
"Portugal","São Miguel (Açores)","Ribeira Grande","Vila de Rabo de Peixe"
"Portugal","São Miguel (Açores)","Ribeira Grande","Ribeira Seca"
"Portugal","São Miguel (Açores)","Ribeira Grande","Ribeirinha"
"Portugal","São Miguel (Açores)","Ribeira Grande","Santa Bárbara"
"Portugal","São Miguel (Açores)","Ribeira Grande","São Brás"
"Portugal","São Miguel (Açores)","Vila Franca do Campo","Água de Alto"
"Portugal","São Miguel (Açores)","Vila Franca do Campo","Ponta Garça"
"Portugal","São Miguel (Açores)","Vila Franca do Campo","Ribeira das Tainhas"
"Portugal","São Miguel (Açores)","Vila Franca do Campo","Ribeira Seca"
"Portugal","São Miguel (Açores)","Vila Franca do Campo","São Miguel"
"Portugal","São Miguel (Açores)","Vila Franca do Campo","São Pedro"
"Portugal","Terceira (Açores)","Angra do Heroísmo","Altares"
"Portugal","Terceira (Açores)","Angra do Heroísmo","Cinco Ribeiras"
"Portugal","Terceira (Açores)","Angra do Heroísmo","Doze Ribeiras"
"Portugal","Terceira (Açores)","Angra do Heroísmo","Feteira"
"Portugal","Terceira (Açores)","Angra do Heroísmo","Conceição"
"Portugal","Terceira (Açores)","Angra do Heroísmo","Porto Judeu"
"Portugal","Terceira (Açores)","Angra do Heroísmo","Posto Santo"
"Portugal","Terceira (Açores)","Angra do Heroísmo","Raminho"
"Portugal","Terceira (Açores)","Angra do Heroísmo","Ribeirinha"
"Portugal","Terceira (Açores)","Angra do Heroísmo","Santa Bárbara"
"Portugal","Terceira (Açores)","Angra do Heroísmo","Santa Luzia"
"Portugal","Terceira (Açores)","Angra do Heroísmo","São Bartolomeu dos Regatos"
"Portugal","Terceira (Açores)","Angra do Heroísmo","São Bento"
"Portugal","Terceira (Açores)","Angra do Heroísmo","São Mateus da Calheta"
"Portugal","Terceira (Açores)","Angra do Heroísmo","São Pedro"
"Portugal","Terceira (Açores)","Angra do Heroísmo","Sé"
"Portugal","Terceira (Açores)","Angra do Heroísmo","Serreta"
"Portugal","Terceira (Açores)","Angra do Heroísmo","Terra Chã"
"Portugal","Terceira (Açores)","Angra do Heroísmo","Vila de São Sebastião"
"Portugal","Terceira (Açores)","Praia da Vitória","Agualva"
"Portugal","Terceira (Açores)","Praia da Vitória","Biscoitos"
"Portugal","Terceira (Açores)","Praia da Vitória","Cabo da Praia"
"Portugal","Terceira (Açores)","Praia da Vitória","Fonte do Bastardo"
"Portugal","Terceira (Açores)","Praia da Vitória","Fontinhas"
"Portugal","Terceira (Açores)","Praia da Vitória","Vila das Lajes"
"Portugal","Terceira (Açores)","Praia da Vitória","Porto Martins"
"Portugal","Terceira (Açores)","Praia da Vitória","Santa Cruz"
"Portugal","Terceira (Açores)","Praia da Vitória","Quatro Ribeiras"
"Portugal","Terceira (Açores)","Praia da Vitória","São Brás"
"Portugal","Terceira (Açores)","Praia da Vitória","Vila Nova"
"Portugal","Graciosa (Açores)","Santa Cruz da Graciosa","Guadalupe"
"Portugal","Graciosa (Açores)","Santa Cruz da Graciosa","Luz"
"Portugal","Graciosa (Açores)","Santa Cruz da Graciosa","São Mateus"
"Portugal","Graciosa (Açores)","Santa Cruz da Graciosa","Santa Cruz da Graciosa"
"Portugal","São Jorge (Açores)","Calheta de São Jorge","Calheta"
"Portugal","São Jorge (Açores)","Calheta de São Jorge","Norte Pequeno"
"Portugal","São Jorge (Açores)","Calheta de São Jorge","Ribeira Seca"
"Portugal","São Jorge (Açores)","Calheta de São Jorge","Santo Antão"
"Portugal","São Jorge (Açores)","Calheta de São Jorge","Vila do Topo"
"Portugal","São Jorge (Açores)","Velas","Manadas"
"Portugal","São Jorge (Açores)","Velas","Norte Grande"
"Portugal","São Jorge (Açores)","Velas","Rosais"
"Portugal","São Jorge (Açores)","Velas","Santo Amaro"
"Portugal","São Jorge (Açores)","Velas","Urzelina"
"Portugal","São Jorge (Açores)","Velas","Velas"
"Portugal","Pico (Açores)","Lajes do Pico","Calheta de Nesquim"
"Portugal","Pico (Açores)","Lajes do Pico","Lajes do Pico"
"Portugal","Pico (Açores)","Lajes do Pico","Piedade"
"Portugal","Pico (Açores)","Lajes do Pico","Ribeiras"
"Portugal","Pico (Açores)","Lajes do Pico","Ribeirinha"
"Portugal","Pico (Açores)","Lajes do Pico","São João"
"Portugal","Pico (Açores)","Madalena","Bandeiras"
"Portugal","Pico (Açores)","Madalena","Candelária"
"Portugal","Pico (Açores)","Madalena","Criação Velha"
"Portugal","Pico (Açores)","Madalena","Madalena"
"Portugal","Pico (Açores)","Madalena","São Caetano"
"Portugal","Pico (Açores)","Madalena","São Mateus"
"Portugal","Pico (Açores)","São Roque do Pico","Prainha"
"Portugal","Pico (Açores)","São Roque do Pico","Santa Luzia"
"Portugal","Pico (Açores)","São Roque do Pico","Santo Amaro"
"Portugal","Pico (Açores)","São Roque do Pico","Santo António"
"Portugal","Pico (Açores)","São Roque do Pico","São Roque do Pico"
"Portugal","Faial (Açores)","Horta","Angústias"
"Portugal","Faial (Açores)","Horta","Capelo"
"Portugal","Faial (Açores)","Horta","Castelo Branco"
"Portugal","Faial (Açores)","Horta","Cedros"
"Portugal","Faial (Açores)","Horta","Conceição"
"Portugal","Faial (Açores)","Horta","Feteira"
"Portugal","Faial (Açores)","Horta","Flamengos"
"Portugal","Faial (Açores)","Horta","Matriz"
"Portugal","Faial (Açores)","Horta","Pedro Miguel"
"Portugal","Faial (Açores)","Horta","Praia do Almoxarife"
"Portugal","Faial (Açores)","Horta","Praia do Norte"
"Portugal","Faial (Açores)","Horta","Ribeirinha"
"Portugal","Faial (Açores)","Horta","Salão"
"Portugal","Flores (Açores)","Lajes das Flores","Fajã Grande"
"Portugal","Flores (Açores)","Lajes das Flores","Fajãzinha"
"Portugal","Flores (Açores)","Lajes das Flores","Fazenda"
"Portugal","Flores (Açores)","Lajes das Flores","Lajedo"
"Portugal","Flores (Açores)","Lajes das Flores","Lajes das Flores"
"Portugal","Flores (Açores)","Lajes das Flores","Lomba"
"Portugal","Flores (Açores)","Lajes das Flores","Mosteiro"
"Portugal","Flores (Açores)","Santa Cruz das Flores","Caveira"
"Portugal","Flores (Açores)","Santa Cruz das Flores","Cedros"
"Portugal","Flores (Açores)","Santa Cruz das Flores","Ponta Delgada"
"Portugal","Flores (Açores)","Santa Cruz das Flores","Santa Cruz"
"Portugal","Porto Santo (Madeira)","Porto Santo","Porto Santo"
"Portugal","Madeira (Madeira)","Calheta","Arco da Calheta"
"Portugal","Madeira (Madeira)","Calheta","Calheta"
"Portugal","Madeira (Madeira)","Calheta","Estreito da Calheta"
"Portugal","Madeira (Madeira)","Calheta","Fajã da Ovelha"
"Portugal","Madeira (Madeira)","Calheta","Jardim do Mar"
"Portugal","Madeira (Madeira)","Calheta","Paul do Mar"
"Portugal","Madeira (Madeira)","Calheta","Ponta do Pargo"
"Portugal","Madeira (Madeira)","Câmara de Lobos","Câmara de Lobos"
"Portugal","Madeira (Madeira)","Câmara de Lobos","Curral das Freiras"
"Portugal","Madeira (Madeira)","Câmara de Lobos","Estreito de Câmara de Lobos"
"Portugal","Madeira (Madeira)","Câmara de Lobos","Jardim da Serra"
"Portugal","Madeira (Madeira)","Câmara de Lobos","Quinta Grande"
"Portugal","Madeira (Madeira)","Funchal","Imaculado Coração de Maria"
"Portugal","Madeira (Madeira)","Funchal","Monte"
"Portugal","Madeira (Madeira)","Funchal","Santa Luzia"
"Portugal","Madeira (Madeira)","Funchal","Santa Maria Maior"
"Portugal","Madeira (Madeira)","Funchal","Santo António"
"Portugal","Madeira (Madeira)","Funchal","São Gonçalo"
"Portugal","Madeira (Madeira)","Funchal","São Martinho"
"Portugal","Madeira (Madeira)","Funchal","São Pedro"
"Portugal","Madeira (Madeira)","Funchal","São Roque"
"Portugal","Madeira (Madeira)","Funchal","Sé"
"Portugal","Madeira (Madeira)","Machico","Água de Pena"
"Portugal","Madeira (Madeira)","Machico","Caniçal"
"Portugal","Madeira (Madeira)","Machico","Machico"
"Portugal","Madeira (Madeira)","Machico","Porto da Cruz"
"Portugal","Madeira (Madeira)","Machico","Santo António da Serra"
"Portugal","Madeira (Madeira)","Ponta do Sol","Ponta do Sol"
"Portugal","Madeira (Madeira)","Ponta do Sol","Canhas"
"Portugal","Madeira (Madeira)","Ponta do Sol","Madalena do Mar"
"Portugal","Madeira (Madeira)","Porto Moniz","Achadas da Cruz"
"Portugal","Madeira (Madeira)","Porto Moniz","Porto Moniz"
"Portugal","Madeira (Madeira)","Porto Moniz","Ribeira da Janela"
"Portugal","Madeira (Madeira)","Porto Moniz","Seixal"
"Portugal","Madeira (Madeira)","Ribeira Brava","Campanário"
"Portugal","Madeira (Madeira)","Ribeira Brava","Ribeira Brava"
"Portugal","Madeira (Madeira)","Ribeira Brava","Serra de Água"
"Portugal","Madeira (Madeira)","Ribeira Brava","Tabua"
"Portugal","Madeira (Madeira)","Santa Cruz","Camacha"
"Portugal","Madeira (Madeira)","Santa Cruz","Caniço"
"Portugal","Madeira (Madeira)","Santa Cruz","Gaula"
"Portugal","Madeira (Madeira)","Santa Cruz","Santa Cruz"
"Portugal","Madeira (Madeira)","Santa Cruz","Santo António da Serra"
"Portugal","Madeira (Madeira)","Santana","Arco de São Jorge"
"Portugal","Madeira (Madeira)","Santana","Faial da Terra"
"Portugal","Madeira (Madeira)","Santana","Ilha"
"Portugal","Madeira (Madeira)","Santana","Santana"
"Portugal","Madeira (Madeira)","Santana","São Jorge"
"Portugal","Madeira (Madeira)","Santana","São Roque do Faial"
"Portugal","Madeira (Madeira)","São Vicente","Boa Ventura"
"Portugal","Madeira (Madeira)","São Vicente","Ponta Delgada"
"Portugal","Madeira (Madeira)","São Vicente","São Vicente"
"Portugal","Santarém","Abrantes","Abrantes (São Vicente e São João) e Alferrarede"
"Portugal","Santarém","Abrantes","Aldeia do Mato e Souto"
"Portugal","Santarém","Abrantes","Alvega e Concavada"
"Portugal","Santarém","Abrantes","Bemposta"
"Portugal","Santarém","Abrantes","Carvalhal"
"Portugal","Santarém","Abrantes","Fontes"
"Portugal","Santarém","Abrantes","Martinchel"
"Portugal","Santarém","Abrantes","Mouriscas"
"Portugal","Santarém","Abrantes","Pego"
"Portugal","Santarém","Abrantes","Rio de Moinhos"
"Portugal","Santarém","Abrantes","São Facundo e Vale das Mós"
"Portugal","Santarém","Abrantes","São Miguel do Rio Torto e Rossio ao Sul do Tejo"
"Portugal","Santarém","Abrantes","Tramagal"
"Portugal","Guarda","Aguiar da Beira","Aguiar da Beira e Coruche"
"Portugal","Guarda","Aguiar da Beira","Carapito"
"Portugal","Guarda","Aguiar da Beira","Cortiçada"
"Portugal","Guarda","Aguiar da Beira","Dornelas"
"Portugal","Guarda","Aguiar da Beira","Eirado"
"Portugal","Guarda","Aguiar da Beira","Forninhos"
"Portugal","Guarda","Aguiar da Beira","Pena Verde"
"Portugal","Guarda","Aguiar da Beira","Pinheiro"
"Portugal","Guarda","Aguiar da Beira","Sequeiros e Gradiz"
"Portugal","Guarda","Aguiar da Beira","Souto de Aguiar da Beira e Valverde"
"Portugal","Évora","Alandroal","Alandroal (Nossa Senhora da Conceição), São Brás dos Matos (Mina do Bugalho) e Juromenha"
"Portugal","Évora","Alandroal","Capelins (Santo António)"
"Portugal","Évora","Alandroal","Santiago Maior"
"Portugal","Évora","Alandroal","Terena (São Pedro)"
"Portugal","Aveiro","Albergaria-a-Velha","Albergaria-a-Velha e Valmaior"
"Portugal","Aveiro","Albergaria-a-Velha","Alquerubim"
"Portugal","Aveiro","Albergaria-a-Velha","Angeja"
"Portugal","Aveiro","Albergaria-a-Velha","Branca"
"Portugal","Aveiro","Albergaria-a-Velha","Ribeira de Fráguas"
"Portugal","Aveiro","Albergaria-a-Velha","São João de Loure e Frossos"
"Portugal","Faro","Albufeira","Albufeira e Olhos de Água"
"Portugal","Faro","Albufeira","Ferreiras"
"Portugal","Faro","Albufeira","Guia"
"Portugal","Faro","Albufeira","Paderne"
"Portugal","Setúbal","Alcácer do Sal","Alcácer do Sal (Santa Maria do Castelo e Santiago) e Santa Susana"
"Portugal","Setúbal","Alcácer do Sal","Comporta"
"Portugal","Setúbal","Alcácer do Sal","São Martinho"
"Portugal","Setúbal","Alcácer do Sal","Torrão"
"Portugal","Santarém","Alcanena","Alcanena e Vila Moreira"
"Portugal","Santarém","Alcanena","Bugalhos"
"Portugal","Santarém","Alcanena","Malhou, Louriceira e Espinheiro"
"Portugal","Santarém","Alcanena","Minde"
"Portugal","Santarém","Alcanena","Moitas Venda"
"Portugal","Santarém","Alcanena","Monsanto"
"Portugal","Santarém","Alcanena","Serra de Santo António"
"Portugal","Leiria","Alcobaça","Alcobaça e Vestiaria"
"Portugal","Leiria","Alcobaça","Alfeizerão"
"Portugal","Leiria","Alcobaça","Aljubarrota"
"Portugal","Leiria","Alcobaça","Bárrio"
"Portugal","Leiria","Alcobaça","Benedita"
"Portugal","Leiria","Alcobaça","Cela"
"Portugal","Leiria","Alcobaça","Cós, Alpedriz e Montes"
"Portugal","Leiria","Alcobaça","Évora de Alcobaça"
"Portugal","Leiria","Alcobaça","Maiorga"
"Portugal","Leiria","Alcobaça","Pataias e Martingança"
